"","temperature_of_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","rectal_examination","abdomen","abdominocentesis_appearance","outcome","surgical_lesion","cp_data","rectal_temperature","pulse","respiratory_rate","nasogastric_lreflux_PH","packed_cell_volume","total_protein","abdomcentesis_total_protein"
"1",3,3,3,2,5,4,4,2,1,3,5,2,2,2,2,38.5,66,28,3.94818,45,8.4,3.04862
"2",3,1,4,1,3,4,2,2,1,4,2,2,3,2,2,39.2,88,20,4.05906,50,85,2
"3",1,1,3,1,3,3,1,2,1,1,1,2,1,2,1,38.3,40,24,4.00362,33,6.7,3.00314
"4",4,1,6,2,2,4,4,1,2,3,4,3,2,1,1,39.1,164,84,5,48,7.2,5.3
"5",2,1,3,1,2,3,2,2,1,3,3,2,1,2,2,38.1,50,24,4.00362,46,59,3.00314
"6",1,1,1,1,3,3,3,1,1,3,5,2,1,1,2,37.9,48,16,4.1145,37,7,2.91218
"7",3,1,3,1,3,4,2,2,1,3,4,2,2,1,2,38.096573,60,31.069068,3.90564271752,44,8.3,3.08351530316
"8",3,4,3,1,4,4,4,2,1,3,5,2,3,1,2,38.187293,80,36,3.8373,38,6.2,3.13958
"9",1,1,1,1,5,3,1,2,1,3,4,1,1,2,1,38.3,90,31.247652,3.90316754328,40,6.2,2.2
"10",3,3,5,1,3,3,1,2,1,2,5,2,1,1,1,38.1,66,12,3,44,6,3.6
"11",2,1,2,1,2,1,2,1,1,4,4,2,1,1,2,39.1,72,52,3.61554,50,7.8,3.3215
"12",2,1,1,1,3,3,3,3,1,4,5,2,1,2,2,37.2,42,12,4.16994,46.56234,7,2.8667
"13",1,1,2,1,1,3,2,3,1,1,1,1,2,2,1,38,92,28,7.2,37,6.1,3.04862
"14",3,1,1,1,3,4,1,2,2,4,4,1,1,1,2,38.2,76,28,3.94818,46,81,2
"15",3,1,4,1,5,3,3,2,3,4,4,2,2,1,2,37.6,96,48,4.5,45,6.8,3.27602
"16",3,3,4,2,4,4,3,3,1,4,5,3,2,2,1,38.405021,128,36,3.8373,53,7.8,4.7
"17",1,1,2,1,2,3,1,1,1,2,5,1,1,1,1,37.6,64,21,4.0452,40,7,2.96903
"18",1,1,5,2,5,4,4,3,1,4,4,2,1,1,2,39.9,72,60,3.50466,46,6.1,3.41246
"19",1,1,1,1,1,3,1,2,3,4,3,2,1,2,2,38.4,48,16,5.5,49,6.8,2.91218
"20",2,1,4,1,2,3,1,2,1,1,4,2,1,1,2,38.6,42,34,3.86502,48,7.2,3.11684
